scope,feature_group,fold,balanced_accuracy,images,features
Receipts,quantity_only,1,0.9285714285714286,64,10
Receipts,quantity_only,2,0.7857142857142857,64,10
Receipts,quantity_only,3,0.8333333333333334,64,10
Receipts,quantity_only,4,0.75,64,10
Receipts,quantity_only,5,0.75,64,10
Receipts,quantity_only,mean,0.8095238095238095,64,10
Receipts,arrangement_only,1,0.8571428571428572,64,96
Receipts,arrangement_only,2,0.8571428571428571,64,96
Receipts,arrangement_only,3,0.8333333333333333,64,96
Receipts,arrangement_only,4,1.0,64,96
Receipts,arrangement_only,5,0.9166666666666667,64,96
Receipts,arrangement_only,mean,0.8928571428571429,64,96
Receipts,arrangement_base_only,1,0.7142857142857143,64,16
Receipts,arrangement_base_only,2,0.7857142857142857,64,16
Receipts,arrangement_base_only,3,0.8333333333333334,64,16
Receipts,arrangement_base_only,4,1.0,64,16
Receipts,arrangement_base_only,5,0.5833333333333333,64,16
Receipts,arrangement_base_only,mean,0.7833333333333334,64,16
Receipts,arrangement_4x4_only,1,0.6428571428571428,64,32
Receipts,arrangement_4x4_only,2,0.9285714285714286,64,32
Receipts,arrangement_4x4_only,3,0.8333333333333334,64,32
Receipts,arrangement_4x4_only,4,0.9166666666666667,64,32
Receipts,arrangement_4x4_only,5,0.75,64,32
Receipts,arrangement_4x4_only,mean,0.8142857142857143,64,32
Receipts,arrangement_8x8_only,1,0.7857142857142857,64,80
Receipts,arrangement_8x8_only,2,0.8571428571428571,64,80
Receipts,arrangement_8x8_only,3,0.8333333333333333,64,80
Receipts,arrangement_8x8_only,4,1.0,64,80
Receipts,arrangement_8x8_only,5,0.9166666666666667,64,80
Receipts,arrangement_8x8_only,mean,0.8785714285714287,64,80
Receipts,quantity_plus_arrangement,1,0.9285714285714286,64,106
Receipts,quantity_plus_arrangement,2,0.9285714285714286,64,106
Receipts,quantity_plus_arrangement,3,1.0,64,106
Receipts,quantity_plus_arrangement,4,1.0,64,106
Receipts,quantity_plus_arrangement,5,0.9166666666666667,64,106
Receipts,quantity_plus_arrangement,mean,0.9547619047619047,64,106
Tables,quantity_only,1,0.8333333333333334,52,10
Tables,quantity_only,2,0.9,52,10
Tables,quantity_only,3,0.8,52,10
Tables,quantity_only,4,0.8,52,10
Tables,quantity_only,5,0.8,52,10
Tables,quantity_only,mean,0.8266666666666665,52,10
Tables,arrangement_only,1,0.6666666666666666,52,96
Tables,arrangement_only,2,0.5,52,96
Tables,arrangement_only,3,0.7,52,96
Tables,arrangement_only,4,0.7,52,96
Tables,arrangement_only,5,0.6,52,96
Tables,arrangement_only,mean,0.6333333333333333,52,96
Tables,arrangement_base_only,1,0.8333333333333334,52,16
Tables,arrangement_base_only,2,0.6000000000000001,52,16
Tables,arrangement_base_only,3,0.8,52,16
Tables,arrangement_base_only,4,0.9,52,16
Tables,arrangement_base_only,5,0.6,52,16
Tables,arrangement_base_only,mean,0.7466666666666667,52,16
Tables,arrangement_4x4_only,1,0.75,52,32
Tables,arrangement_4x4_only,2,0.6,52,32
Tables,arrangement_4x4_only,3,0.8,52,32
Tables,arrangement_4x4_only,4,0.8,52,32
