pilot_id,relative_path,status,error,image_width,image_height,num_regions,runtime_seconds
DVP_074_01dd36157623,Data/AcademicPosters/1_fake/academic_poster_0442.png,ok,,1402,1122,191,0.2779004999993049
DVP_075_01dd5c9ef4fd,Data/Receipts/1_fake/receipt_0458.png,ok,,1024,1536,56,0.20732780000071216
DVP_076_01dd70ff61f2,Data/InfographicCharts/1_fake/infographic_chart_0480.png,ok,,1313,1198,58,0.28956970000035653
DVP_077_01ece75e67f5,Data/UIScreenshots/0_real/52107.jpg,ok,,1080,1920,23,0.18416130000150588
DVP_078_01f03f916ae9,Data/InfographicCharts/1_fake/infographic_chart_0115.png,ok,,1177,1337,52,0.2801857000013115
DVP_079_01f0f7822803,Data/Receipts/0_real/X51008099085.jpg,ok,,932,1740,44,0.18858360000012908
DVP_080_02038acf881a,Data/Tables/0_real/PMC1326198_table_0.jpg,ok,,363,595,80,0.14938740000070538
DVP_081_02055dc1a918,Data/AcademicPosters/0_real/ICML_2024_33332_Visual Transformer with Differentiable Channel Selection_ An.png,ok,,4071,2880,269,0.26926149999962945
DVP_082_020a623627d7,Data/AcademicPosters/0_real/NeurIPS_2022_60029_Deep Neural Imputation_ A Framework for Recovering Incomplet.png,ok,,2500,1768,144,0.23740600000019185
DVP_083_020bcbf9555b,Data/Receipts/1_fake/receipt_0726.png,ok,,1023,1537,65,0.21493779999946128
DVP_084_020c57b53519,Data/Receipts/1_fake/receipt_0978.png,ok,,1024,1536,52,1.0086045999996713
DVP_085_02153df6c4ff,Data/Tables/0_real/PMC5905144_table_0.jpg,ok,,685,232,62,0.18791330000021844
DVP_086_021959f1cc95,Data/Receipts/0_real/X51007103688.jpg,ok,,842,1280,31,0.44974589999947057
DVP_087_021de251c037,Data/CommercialPosters/0_real/5b51f32200f9c6103ae8b3e5_preview.jpg,ok,,940,788,5,0.6114433000002464
DVP_088_021e6b7f3d69,Data/Receipts/0_real/X51008114216.jpg,ok,,936,1663,35,0.4222900999993726
DVP_089_022217b75e79,Data/CommercialPosters/0_real/5cdd82ea7d4459dfe1a5c7b9_preview.jpg,ok,,940,788,6,0.5992764000002353
DVP_090_022e6e2fb2a9,Data/Receipts/1_fake/receipt_0681.png,ok,,921,1707,57,0.3805381000001944
DVP_091_0232ea61c149,Data/AcademicPosters/1_fake/academic_poster_0968.png,ok,,1402,1122,182,0.6050393999994412
DVP_092_023f9b1d5afe,Data/UIScreenshots/1_fake/ui_0134.png,ok,,941,1672,59,0.409745799999655
DVP_093_02444e18871c,Data/InfographicCharts/1_fake/infographic_chart_0437.png,ok,,1402,1122,84,0.5860198999998829
DVP_094_0247d1ae6c06,Data/Tables/1_fake/table_1000.png,ok,,1536,1024,142,0.48296970000046713
DVP_095_02492978d021,Data/CommercialPosters/0_real/5b27b8f61eb1c99e2ab9474e_preview.jpg,ok,,940,788,2,0.5743779999993421
DVP_096_024ea845b456,Data/Receipts/0_real/X51005568829.jpg,ok,,936,1841,83,0.38433599999916623
DVP_097_02500044356e,Data/InfographicCharts/0_real/00016747.jpeg,ok,,960,684,34,0.5196262999997998
DVP_098_026c06614ebc,Data/Tables/1_fake/table_0483.png,ok,,1358,1158,183,0.7326223000000027
DVP_099_0275720d8098,Data/UIScreenshots/0_real/8592.jpg,ok,,540,960,21,0.4636372000004485
DVP_100_0275cd7b3eb8,Data/CommercialPosters/1_fake/commercial_poster_0315.png,ok,,1086,1448,42,0.5453594999999041
DVP_101_028675fa3647,Data/Receipts/0_real/X51006620186.jpg,ok,,888,2603,58,0.259897899999487
DVP_102_02928c727622,Data/CommercialPosters/0_real/5bf28e0d41fdeab19f9d2597_preview.jpg,ok,,1024,512,5,0.41246440000031726
DVP_103_02a4e6d7446a,Data/AcademicPosters/0_real/NeurIPS_2022_63439_Structured Priors for Disentangling Pathology and Anatomy in.png,ok,,2500,1666,189,0.5049887000004674
DVP_104_02b7f3ee0064,Data/CommercialPosters/0_real/5c373fba048d064dbc2a96ca_preview.jpg,ok,,1024,1024,3,0.757711800000834
DVP_105_02baf01caec4,Data/InfographicCharts/0_real/00014510.jpeg,ok,,1200,1200,25,0.7529914999995526
DVP_106_02beb0a67404,Data/InfographicCharts/0_real/00055388.jpg,ok,,1200,1202,61,0.7713411000004271
DVP_107_02c420df5932,Data/Receipts/0_real/X51005705784.jpg,ok,,787,2204,85,0.2899508999998943
DVP_108_02cc39f73e5d,Data/AcademicPosters/0_real/NeurIPS_2023_71807_Practical Differentially Private Hyperparameter Tuning with .png,ok,,3370,2383,195,0.5300702000004094
DVP_109_02cdf19a37bd,Data/Receipts/0_real/X51005676539.jpg,ok,,933,1861,58,0.3994784000005893
DVP_110_02ce358ab638,Data/UIScreenshots/0_real/8560.jpg,ok,,1080,1920,20,0.4139353000009578
DVP_111_02d2900ddb7d,Data/UIScreenshots/0_real/56610.jpg,ok,,1080,1920,22,0.46759560000100464
DVP_112_02e23210677c,Data/CommercialPosters/1_fake/commercial_poster_0288.png,ok,,1448,1086,27,0.5269325000008394
DVP_113_0301352ea55d,Data/CommercialPosters/1_fake/commercial_poster_0487.png,ok,,1448,1086,8,0.5885935000005702
DVP_114_0312b40955d7,Data/InfographicCharts/0_real/00027443.jpeg,ok,,1200,1200,22,0.749853000001167
DVP_115_0318c2e08df7,Data/Tables/1_fake/table_0487.png,ok,,1312,1199,139,0.7309069000002637
DVP_116_031ee141cbe8,Data/Tables/1_fake/table_0411.png,ok,,1312,1199,363,0.7432845999992423
DVP_117_0325723ec38b,Data/CommercialPosters/0_real/5ca7253923c829c8213e6cd2_preview.jpg,ok,,1024,576,8,0.483458900000187
DVP_118_038d09fb52e0,Data/AcademicPosters/0_real/ICLR_2023_13489_Understanding forest resilience to drought with Shapley valu.png,ok,,4200,2800,181,0.5094196000009106
DVP_119_03c8de266eae,Data/Tables/1_fake/table_0921.png,ok,,1402,1122,119,0.6067132999996829
DVP_120_042ba6e59683,Data/Tables/1_fake/table_0548.png,ok,,1314,1197,93,0.710723300000609
